common_name;scientific_name;category;description;habitat;population_estimate;endangerment_status;size_from;size_to;colors
Ackerhummel;Bombus pascuorum);Insekt;;;;;1;1.1;black,orange,gray
Admiral;Vanessa alalanta;Insekt;;;;;;;brown,orange,white
Altica;Altica;Insekt;;;;;;;black,green
Aurorafalter;Anthocharis cardamines;Insekt;;;;;;;white,orange,black
Brombeerspinner;Macrothylacia rub;Insekt;;;;;;;brown,orange
C-Falter;Polygonia c-album;Insekt;;;;;;;orange,brown
Feuerwanze;Pyrrhocoris apterus;Insekt;;;;;;;red,black
Gr_nes Heupferd;Tettigonia viridissima;Insekt;;;;;;;green
Grpßes Ochsenauge;Maniola jurtina;Insekt;;;;;;;brown,orange
Großlibelle;Anisoptera;Insekt;;;;;;;red,blue,yellow,green,brown
Hauhechelbl_uling;Polyommatus icarus;Insekt;;;;;;;blue,orange,white
Hirschk_fer;Lucanus cervus;Insekt;;;;;;;schwarz
Honigbiene;Apis mellifera;Insekt;;;;;;;orange,black
Hornisse;Vespa crabro;Insekt;;;;;;;black,orange,yellow
Kleiner Kohlwießling;Pieris rapae;Insekt;;;;;;;white
Kleines Ochsenauge;Hyponephele lycaon;Insekt;;;;;;;brown,orange
Kugelspringer;Allacma fusca;Insekt;;;;;;;purple,yellow,orange,brown
Landk_rtchen;Araschnia levana;Insekt;;;;;;;brown,white,orange
Siebenpunkt-Marienk_fer;Coccinella septempunctata;Insekt;;;;;;;red,black,white
Mistk_fer;Geotrupidae;Insekt;;;;;;;black,blue
Prachtlibelle;Calopterygidae;Insekt;;;;;;;black,blue,green
Rapsweißling;Pieris napi;Insekt;;;;;;;white,black
Ameise;Formicidae;Insekt;;;;;;;brown
Sechzehnfleckiger-Marienk_fer;Halyzia sedecimguttata;Insekt;;;;;;;white,yellow
Streifenwanze;Graphosoma lineatum;Insekt;;;;;;;red,black
Tagpfauenauge;Aglais io;Insekt;;;;;;;orange,brown,blue,yellow,black
Vierfleck;Libellula quadrimaculata;Insekt;;;;;;;yellow,black
Weidenjungfer;Chalcolestes viridis;Insekt;;;;;;;green,red
Wespe;Vespinae;Insekt;;;;;;;yellow,black
Zitronenfalter;Gonepteryx rhamni;Insekt;;;;;;;yellow,green
