id,common_name,scientific_name,category,description,habitat,population_estimate,endangerment_status,created_at,size_from,size_to,colors
34,Wildkaninchen,Oryctolagus cuniculus,Säugetier,Das Kaninchen ist ein Pflanzenfresser und bewohnt vor allem Wiesen und Felder.,"Wiesen, Felder",ca. 3 Millionen,Nicht gefährdet,2024-05-21 13:16:42.655563,20,50,brown
38,Eichhörnchen,Sciurus vulgaris,Säugetier,Das Eichhörnchen ist ein geschickter Kletterer und bewohnt vor allem Wälder und Parks.,"Wälder, Parks",ca. 2 Millionen,Nicht gefährdet,2024-05-21 13:16:42.655563,20,25,"brown,black,gray"
45,Damwild,Dama dama,Säugetier,"Das Damwild ist eine Art der Hirsche, die in Wäldern und offenen Landschaften lebt und sich von Pflanzen ernährt.","Wälder, offene Landschaften",keine genauen Daten,Nicht gefährdet,2024-05-21 13:16:42.655563,110,140,brown
28,Fuchs,Vulpes vulpes,Säugetier,"Der Fuchs ist ein geschickter Jäger und bewohnt Wälder, Wiesen und auch städtische Gebiete.","Wälder, Wiesen, städtische Gebiete",ca. 400.000,Nicht gefährdet,2024-05-21 13:16:42.655563,60,90,"orange,white"
32,Dachs,Meles meles,Säugetier,"Der Dachs ist ein nachtaktiver Allesfresser, der vor allem in Wäldern und ländlichen Gebieten zu finden ist.","Wälder, ländliche Gebiete",ca. 400.000,Nicht gefährdet,2024-05-21 13:16:42.655563,70,90,"black,white"
53,Teichfrosch,Pelophylax kl. esculentus,Amphibie,"Der Teichfrosch ist eine verbreitete Art, die sich oft in Gewässernähe aufhält und grüne oder braune Färbung aufweisen kann.","Teiche, Tümpel, langsam fließende Gewässer",keine genauen Daten,Nicht gefährdet,2024-05-21 13:26:36.073816,5,9,green
26,Wildschwein,Sus scrofa,Säugetier,"Das Wildschwein ist ein Allesfresser und bewohnt Wälder, Felder und sogar Stadtränder.","Wälder, Felder, Stadtränder",700.000-800.000,Nicht gefährdet,2024-05-21 13:16:42.655563,100,130,brown
50,Grasfrosch,Rana temporaria,Amphibie,"Der Grasfrosch ist eine häufige Amphibienart, die in verschiedenen Lebensräumen wie Wäldern, Wiesen und Gärten vorkommt.","Wälder, Wiesen, Gärten",keine genauen Daten,Nicht gefährdet,2024-05-21 13:26:36.073816,4,7,"green,brown"
52,Springfrosch,Rana dalmatina,Amphibie,"Der Springfrosch ist ein kleiner, agiler Frosch, der häufig in feuchten Lebensräumen anzutreffen ist und für seine Sprungfähigkeit bekannt ist.","Feuchtwiesen, Teiche",keine genauen Daten,Gefährdet,2024-05-21 13:26:36.073816,3,5,brown
42,Murmeltier,Marmota marmota,Säugetier,"Das Murmeltier ist ein geselliges Nagetier, das in den Alpenregionen zu finden ist.",Alpenregionen,keine genauen Daten,Nicht gefährdet,2024-05-21 13:16:42.655563,40,60,brown
